date,sp500,ir3m,ir10y,vix,gdp,cpi,date_yyyymmdd
2009-10-31,1036.18994140625,0.04500000178813934,3.3919999599456787,30.690000534057617,16502.754,216.509,20091031
2009-11-30,1095.6300048828125,0.05000000074505806,3.2009999752044678,24.510000228881836,16502.754,217.234,20091130
2009-12-31,1115.0999755859375,0.05000000074505806,3.8429999351501465,21.68000030517578,16502.754,217.347,20091231
2010-01-31,1073.8699951171875,0.07000000029802322,3.6089999675750732,24.6200008392334,16582.71,217.488,20100131
2010-02-28,1104.489990234375,0.11500000208616257,3.5950000286102295,19.5,16582.71,217.281,20100228
2010-03-31,1169.4300537109375,0.15000000596046448,3.8329999446868896,17.59000015258789,16582.71,217.353,20100331
2010-04-30,1186.68994140625,0.1550000011920929,3.6630001068115234,22.049999237060547,16743.162,217.403,20100430
2010-05-31,1089.4100341796875,0.15000000596046448,3.3010001182556152,32.06999969482422,16743.162,217.29,20100531
2010-06-30,1030.7099609375,0.17000000178813934,2.9509999752044678,34.540000915527344,16743.162,217.199,20100630
2010-07-31,1101.5999755859375,0.14000000059604645,2.9070000648498535,23.5,16872.266,217.605,20100731
2010-08-31,1049.3299560546875,0.13500000536441803,2.4769999980926514,26.049999237060547,16872.266,217.923,20100831
2010-09-30,1141.199951171875,0.1550000011920929,2.5169999599456787,23.700000762939453,16872.266,218.275,20100930
2010-10-31,1183.260009765625,0.10999999940395355,2.611999988555908,21.200000762939453,16960.864,219.035,20101031
2010-11-30,1180.550048828125,0.1599999964237213,2.796999931335449,23.540000915527344,16960.864,219.59,20101130
2010-12-31,1257.6400146484375,0.11500000208616257,3.305000066757202,17.75,16960.864,220.472,20101231
2011-01-31,1286.1199951171875,0.14499999582767487,3.378000020980835,19.530000686645508,16920.632,221.187,20110131
2011-02-28,1327.219970703125,0.13500000536441803,3.4140000343322754,18.350000381469727,16920.632,221.898,20110228
2011-03-31,1325.8299560546875,0.09000000357627869,3.4539999961853027,17.739999771118164,16920.632,223.046,20110331
2011-04-30,1363.6099853515625,0.03999999910593033,3.2960000038146973,14.75,17035.114,224.093,20110430
2011-05-31,1345.199951171875,0.03999999910593033,3.049999952316284,15.449999809265137,17035.114,224.806,20110531
2011-06-30,1320.6400146484375,0.014999999664723873,3.1579999923706055,16.520000457763672,17035.114,224.806,20110630
2011-07-31,1292.280029296875,0.09000000357627869,2.805000066757202,25.25,17031.313,225.395,20110731
2011-08-31,1218.8900146484375,0.014999999664723873,2.2179999351501465,31.6200008392334,17031.313,226.106,20110831
